C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_49_571.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_49_571.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_49_571.jpg,0,1,0,20.80997
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_49_643.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_49_643.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_49_643.jpg,0,1,0,21.41042
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_49_714.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_49_714.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_49_714.jpg,0,1,0,22.20489
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_49_784.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_49_784.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_49_784.jpg,0,1,0,22.99245
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_49_854.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_49_854.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_49_854.jpg,0,1,0,23.57883
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_49_922.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_49_922.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_49_922.jpg,0,1,0,24.16151
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_49_998.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_49_998.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_49_998.jpg,0,1,0,24.933
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_50_067.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_50_067.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_50_067.jpg,0,1,0,25.69825
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_50_135.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_50_135.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_50_135.jpg,0,1,0,26.26815
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_50_205.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_50_205.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_50_205.jpg,-0.15,1,0,27.01404
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_50_278.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_50_278.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_50_278.jpg,0,1,0,27.56481
C:\Users\itste\Downloads\track1\IMG\center_2024_01_16_12_29_50_346.jpg,C:\Users\itste\Downloads\track1\IMG\left_2024_01_16_12_29_50_346.jpg,C:\Users\itste\Downloads\track1\IMG\right_2024_01_16_12_29_50_346.jpg,0,1,0,28.3078
